"Group","Member","Start Year","End Year"
"519","135","1900","9999"
"519","142","1900","9999"
"519","151","1900","9999"
"519","177","1900","9999"
"519","224","1900","9999"
"519","239","1900","9999"
"519","240","1900","9999"
"519","258","1900","9999"
"519","283","1900","9999"
"519","286","1900","9999"
"519","287","1900","9999"
"519","288","1900","9999"
"519","289","1900","9999"
"527","45","2004","9999"
"527","270","2004","9999"
"527","68","2004","9999"
"527","114","2004","9999"
"527","129","2004","9999"
"527","132","2004","9999"
"527","137","2004","9999"
"527","144","2004","9999"
"527","182","2004","9999"
"527","196","2004","9999"
"527","201","2004","9999"
"527","202","2004","9999"
"527","215","2004","9999"
"527","276","2004","9999"
"527","249","2004","9999"
"513","202","2016","9999"
"511","175","2016","9999"
"524","202","1990","9999"
"524","123","1990","9999"
"524","147","1990","9999"
"524","197","1990","9999"
"513","16","1900","9999"
"511","86","1990","9999"
