"Acronym","Code","Description","Name_En","Name_Es","Name_Fr"
"USER_SAT","13.2","Description of how well the disseminated statistics meet the expressed user needs. If user satisfaction surveys are conducted, the main results should also be reported (in the form of a user satisfaction index if available). The date of the most recent user satisfaction survey should also be mentioned. 
As per FAO Statistical Standard on Quality indicators for external users , a quantitative measure of users’ satisfaction should be provided here (average proportion of satisfied users). 
Any additional indication or measure to report on user satisfaction could also be reported here with reference to FAO Statistical Standard on User consultation .","User satisfaction","Satisfacción del usuario","Satisfaction des utilisateurs"
"COMPLETENESS","13.3","Extent to which all statistics that are needed are available. This normally compares the “ideal” data set required by the main users to the available one.
As per FAO Statistical Standard on Quality indicators for external users , a quantitative measure of geographic completeness should be provided here.","Completeness","Exhaustividad","Exhaustivité"
"ACCURACY","14","Accuracy refers to the closeness of estimates to the true values that statistics were intended to measure. Reliability refers to the closeness of the initial estimates to the subsequent or final estimates. (Information relating to this concept is provided by reporting on its sub-concepts)","Accuracy and reliability","Precisión y fiabilidad","Précision et fiabilité"
"ACCURACY_OVERALL","14.1","Assessment of accuracy linked to a certain data set or domain. This metadata element is used to describe the main sources of random or systematic error (e.g. measurement error, non-response error) in the statistical outputs which may be generated in any phase of the FAO statistical process (FAO data collection, treatment, processing and dissemination), with special focus on the impact on key estimates at the FAO corporate level. It should provide a qualitative and quantitative assessment of the variability and potential bias (sign and order of magnitude) associated to each key indicator produced and disseminated by FAO. 
As per FAO Statistical Standard on Quality indicators for external users , applicable quantitative measures of accuracy should be provided here (for instance, questionnaire reporting rate, weighted questionnaire reporting rate, percentage of missing data and percentage of official data).","Overall accuracy","Precisión general","Précision générale"
"MODEL_ASSUMP_ERR","14.2","Error due to adoption of statistical models needed to estimate a variable or an indicators that will contribute to the main statistical outputs of the process. This concept focuses on errors that occur are typically those related to not holding of the key assumptions underlying the model (including the risk of application of not fully adequate models e.g. a linear model when the relationship is not-linear). All FAO processes where production of final regional/global estimates is largely based on the application of statistical models should describe the potential model assumption errors and assess their impact on the accuracy of results.","Model assumption error","Error de suposición del modelo","Erreur d'hypothèse du modèle"
"IMPUTATION_RATE","14.3","Ratio of the number of replaced values to the total number of values for a given variable.
Imputation should be documented with reference to FAO Statistical Standard on imputation . If there is missing data, give detailed description of the methods used for imputation. For non-statistical data sources, indicate the reason why data were not collected (e.g. selection bias, technical issues, etc.). Imputation indicators (i.e. percentage of imputed values and contribution of imputed values to totals) should be reported in line with FAO Statistical Standard on Quality indicators for external users .","Imputation indicators","Indicadores de imputación","Indicateurs d'imputation"
"REV_POLICY","14.4","Policy aimed at ensuring the transparency of disseminated data, whereby preliminary data are compiled that are later revised. Description of the general guidelines for handling data revisions applied by FAO or the statistical unit.","Data revision - policy","Política de revisión de datos","Politique de révision des données"
"REV_PRACTICE","14.5","Information on the data revision practice. This provides documentation regarding the source data used and the way they are adjusted, in order to give compilers the possibility of incorporating new and more accurate information into estimates, thus improving their accuracy without introducing breaks in the time series. It also describes the revision status of available data. Data may also be subject to regular or ad-hoc revisions as a result of the introduction of new classifications, compilation frameworks and methodologies which result in the compilation of historical data that replace previously released data. 
Quantitative revision indicators should be disseminated here in line with recommended FAO Statistical Standard on Data revision  and FAO Statistical Standard on Quality indicators for external users .","Data revision - practice","Práctica de revisión de datos","Pratique de révision des données"
"TIMELINESS_PUNCT","15","(Information relating to this concept is provided by reporting on its sub-concepts)","Timeliness and punctuality","Oportunidad y puntualidad","Respect des délais et ponctualité"
"TIMELINESS","15.1","The speed of dissemination of statistical outputs - i.e. the lapse of time between the end of a reference period (or a reference date) and the dissemination of the statistical outputs (e.g. quarter, month of the following year).
Quantitative measures of timeliness (e.g Number of months between data availability and the event or phenomenon) should be provided here. Recommended timeliness indicators can be found in FAO Statistical Standard on Quality indicators for external users . 
Example of reporting on timelines indicators: Data are normally received 11 months after the reference year and processed and disseminated by FAO within 2 months.","Timeliness","Oportunidad","Respect des délais"
