ALPHA3CODE,FULL_NAME_E,FULL_NAME_F,FULL_NAME_S,SCIENTIFIC_NAME,AUTHOR
YUD,Kerguelen mussel,,,Mytilus desolationis,Lamy 1936
OAT,Homole crab,Homole,Homola,Homola barbata,(Fabricius 1793)
ESX,Splendid spooner,,,Etisus splendidus,Rathbun 1906
EUX,Sawedged spooner,,,Etisus utilis,Jacquinot 1852
TGX,Giant egg crab,,,Atergatopsis signatus,(Adams & White 1848)
EDU,Spiny spooner,,,Etisus dentatus,(Herbst 1785)
HQA,Champagne crab,,,Hypothalassia armata,(De Haan 1835)
MHZ,Maroon stone crab,,,Menippe rumphii,(Fabricius 1798)
MPW,Mangrove stone crab,,,Myomenippe hardwickii,(Gray 1831)
NUG,Green spiny lobster,Langouste verte,Langosta barbona,Panulirus gracilis,Streets 1871
NUU,Blue spiny lobster,Langouste bleue,Langosta azul,Panulirus inflatus,(Bouvier 1895)
GQD,Sordid rubberlip,Diagramme à lèvres rouges,Burro boca colorada,Plectorhinchus sordidus,(Klunzinger 1870)
NUJ,Japanese spiny lobster,Langouste japonaise,Langosta japonesa,Panulirus japonicus,(Von Siebold 1824)
ISN,Australian ghost shrimp,,,Callianassa australiensis,(Dana 1852)
INB,Beach ghost shrimp,,,Callianassa biffari,Holthuis 1990
KPK,Giant box crab,,,Calappa calappa,(Linnaeus 1758)
KPP,Spectacled box crab,,,Calappa philargius,(Linnaues 1758)
DJL,Longlegged land crab,,,Cardisoma longipes,(A. Milne Edwards 1873)
DJR,Rugose land crab,,,Cardisoma rotundum,(Quoy & Gaimard 1824)
ODD,Common ghost crab,,,Ocypode cordimanus,Desmarest 1825
KPG,Shamefaced crab,Crabe honteux,,Calappa granulata,(Linnaeus 1758)
KCB,Toothed rock crab,Tourteau denté,Jaiba de roca dientuda,Cancer bellianus,Johnston 1861
KEF,Deep-sea red crab,Crabe rouge de profondeur,Cangrejo rey,Chaceon affinis,A. Milne Edwards & Bouvier 1894
GRQ,Mediterranean geryon,Géryon de la Méditerranée,Gerión mediterráneo,Geryon longipes,A. Milne Edwards 1882
OUX,Xantus swimcrab,Étrille de Xantus,Jaiba de Xantus,Portunus xantusii,(Stimpson 1860)
ENF,Stridulating stone crab,Crabe caillou stridulant,Cangrejo de piedra estridulant,Menippe frontalis,A. Milne Edwards 1879
OZV,Punched stone crab,Crabe caillou perfore,Cangrejo de piedra perforado,Ozius verreauxii,de Saussure 1853
JDC,Japan. deep-water carrier crab,,,Paromola japonica,Parisi 1915
DRO,Common sponge crab,,,Dromia dormia,(Linnaeus 1763)
SYB,Polkadot catshark,Roussette polka,Alitán de lunares,Scyliorhinus besnardi,Springer & Sadowsky 1970
SYA,Boa catshark,Roussette boa,Alitán boa,Scyliorhinus boa,Goode & Bean 1896
SYE,West African catshark,Roussette thalassa,Alitán africano,Scyliorhinus cervigoni,Maurin & Bonnet 1970
SYG,Brownspotted catshark,Roussette à taches brunes,Alitán manchado,Scyliorhinus garmani,(Fowler 1934)
SYH,Freckled catshark,Roussette taches de son,Alitán pecoso,Scyliorhinus haeckelii,(Miranda-Ribeiro 1907)
SYM,Blotched catshark,Roussette cloquée,Alitán pintarrajo,Scyliorhinus meadi,Springer 1966
SGZ,California scorpionfish,,,Scorpaena guttata,Girard 1854
SIQ,Player scorpionfish,,,Scorpaena histrio,Jenyns 1840
SLQ,Senegalese rockfish,,,Scorpaena laevis,Troschel 1866
SNQ,Small red scorpionfish,,,Scorpaena notata,Rafinesque 1810
NSG,Arabian monocle bream,Mamila arabe,Besugato de Arabia,Scolopsis ghanam,(Forsskål 1775)
NSO,Monogrammed monocle bream,,,Scolopsis monogramma,(Cuvier 1830)
NSE,Lattice monocle bream,,,Scolopsis taenioptera,(Cuvier 1830)
NSP,Whitecheek monocle bream,Mamila joues blanches,Besugato cariblanco,Scolopsis vosmeri,(Bloch 1792)
OBM,Talang queenfish,Sauteur talang,Jurel saltador,Scomberoides commersonnianus,Lacépède 1801
OBY,Doublespotted queenfish,Sauteur sabre,Jurel sable,Scomberoides lysan,(Forsskål 1775)
OBT,Barred queenfish,Sauteur carsia,Jurel carsia,Scomberoides tala,(Cuvier 1832)
OBJ,Needlescaled queenfish,Sauteur leurre,Jurel saltarín,Scomberoides tol,(Cuvier 1832)
SXH,Longfin escolar,,,Scombrolabrax heterolepis,Roule 1921
OBS,Gnomefish,,,Scombrops boops,(Houttuyn 1782)
SID,,,,Scopelarchoides danae,Johnson 1974
OUA,,,,Scopelarchus analis,(Brauer 1902)
SYJ,Pacific blackchin,,,Scopelengys tristis,Alcock 1890
SXM,,,,Scopeloberyx microlepis,(Norman 1937)
SBN,,,,Scopelogadus beanii,(Günther 1887)
SIM,,,,Scopelopsis multipunctatus,Brauer 1906
SLH,,,,Scopelosaurus hamiltoni,(Waite 1916)
PXN,Finescale dace,,,Phoxinus neogaeus,Cope 1867
PXP,Eurasian minnow,,,Phoxinus phoxinus,(Linnaeus 1758)
PXL,Rock pipefish,,,Phoxocampus belcheri,(Kaup 1856)
PEH,Redtail catfish,,,Phractocephalus hemioliopterus,(Bloch & Schneider 1801)
LIB,Brushtooth lizardfish,Anoli à grandes écailles,Lagarto escamoso,Saurida undosquamis,(Richardson 1848)
HSR,Atipa,,,Hoplosternum littorale,(Hancock 1828)
ELX,River eels nei,Anguilles nca,Anguilas nep,Anguilla spp,
ELJ,Japanese eel,Anguille du Japon,Anguila japonesa,Anguilla japonica,Temminck & Schlegel 1847
ELA,American eel,Anguille d'Amérique,Anguila americana,Anguilla rostrata,(Lesueur 1817)
RKJ,Peruvian one-handed shrimp,Crevette manchot péruvienne,Camarón manco peruano,Processa peruviana,Wicksten 1983
GPC,Guinean pike conger,Murénésoce de Guinée,Morenocio de Guinea,Cynoponticus ferox,Costa 1846
COX,"Conger eels, etc. nei","Congres, etc. nca","Congrios, etc. nep",Congridae,
COE,European conger,Congre d'Europe,Congrio común,Conger conger,(Linnaeus 1758)
COS,Argentine conger,Congre argentin,Congrio argentino,Conger orbignyanus,Valenciennes 1847
