"CWP_Endorsed","CWP_Handbook_Name","Code","Identifier","Latitude_max","Latitude_min","Local_Name","Longitude_max","Longitude_min","Name_En","Name_Es","Name_Fr","Standard_Regional_Code"
"true","Northwest Coast of Scotland and North Ireland or as the West of Scotland (Division 27.6.a)","27.6.a","547","60.5","54.48","","-4","-12","Northwest Coast of Scotland and North Ireland or as the West of Scotland (Division 27.6.a)","Costa nord-occidental de Escocia e Irlanda del Norte o el Oeste de Escocia (División 27.6.a)","Côte Nord-Ouest de l'Ecosse et Irlande du Nord ou comme Ouest de l'Ecosse (Division 27.6.a)","27.6.a"
"true","Rockall (Division 27.6.b)","27.6.b","548","60","54.5","","-12","-18","Rockall (Division 27.6.b)","Rockall (División 27.6.b)","Rockall (Division 27.6.b)","27.6.b"
"true","Irish Sea (Division 27.7.a)","27.7.a","549","55","52","","-2.79","-7.58","Irish Sea (Division 27.7.a)","Mar de Irlanda (División 27.7.a)","Mer d'Irlande (Division 27.7.a)","27.7.a"
"true","West of Ireland (Division 27.7.b)","27.7.b","550","54.5","52.5","","-8.24","-12","West of Ireland (Division 27.7.b)","Oeste de Irlanda (División 27.7.b)","Ouest de l'Irlande (Division 27.7.b)","27.7.b"
"true","Porcupine Bank (Division 27.7.c)","27.7.c","551","54.5","52.5","","-12","-18","Porcupine Bank (Division 27.7.c)","Porcupine Bank (División 27.7.c)","Banc de Porcupine (Division 27.7.c)","27.7.c"
"true","Eastern English Channel (Division 27.7.d)","27.7.d","552","51","49.32","","2.01","-2","Eastern English Channel (Division 27.7.d)","Canal de la Mancha oriental (División 27.7.d)","Manche orientale (Division 27.7.d)","27.7.d"
"true","Western English Channel (Division 27.7.e)","27.7.e","553","50.7","48","","-1.35","-7","Western English Channel (Division 27.7.e)","Canal de la Mancha occidental (División 27.7.e)","Manche occidentale (Division 27.7.e)","27.7.e"
"true","Bristol Channel (Division 27.7.f)","27.7.f","554","51.8","50","","-2.34","-7","Bristol Channel (Division 27.7.f)","Canal de Bristol (División 27.7.f)","Canal de Bristol (Division 27.7.f)","27.7.f"
"true","Celtic Sea North (Division 27.7.g)","27.7.g","555","52","50","","-4.99","-9","Celtic Sea North (Division 27.7.g)","Mar Céltico norte (División 27.7.g)","Mer Celtique du nord (Division 27.7.g)","27.7.g"
"true","Celtic Sea South (Division 27.7.h)","27.7.h","556","50","48","","-5","-9","Celtic Sea South (Division 27.7.h)","Mar Céltico sur (División 27.7.h)","Mer Celtique du sud (Division 27.7.h)","27.7.h"
"true","Southwest of Ireland - East (Division 27.7.j)","27.7.j","557","52.5","48","","-9","-12","Southwest of Ireland - East (Division 27.7.j)","Sudoeste de Irlanda - Este (División 27.7.j)","Sud-ouest de l'Irlande - Est (Division 27.7.j)","27.7.j"
