"Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group","ISSCAAP_Group","CPC_Class","CPC_Group"
"1090101801","2044","Kitefin shark","Squale liche","Carocho","","","Далатия (=чёрная пряморотая акула)","Dalatias licha","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101901","2045","Black dogfish","Aiguillat noir","Tollo negro merga","كلب البحر أسود","黑霞鲨","Акула черная собачья Фабрициуса","Centroscyllium fabricii","(Reinhardt 1825)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090300401","2046","Angelshark","Ange de mer commun","Angelote","","","Скватина европейская (=морской ангел)","Squatina squatina","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090500602","2047","Sailfin roughshark","Humantin","Cerdo marino velero","قِرش فظّ زِعنفة قِلع","帆鳍尖背角鲨","","Oxynotus paradoxus","Frade 1929","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"11001XXXXX","2048","Guitarfishes, etc. nei","Guitares, etc. nca","Guitarras, etc. nep","","","","Rhinobatidae","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100100510","2049","Pacific guitarfish","Poisson-guitare du Pacifique","Guitarra del Pacífico","","","","Rhinobatos planiceps","Garman 1880","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"11002XXXXX","2050","Sawfishes","Poissons-scies","Peces sierra","","","","Pristidae","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400101","2051","Blue skate","Pocheteau gris","Noriega","","","","Raja batis","Linnaeus 1758","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400103","2052","Starry ray","Raie radiée","Raya radiante","شِفنين بحري شعاعية","辐鳐","","Raja radiata","Donovan 1808","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400106","2053","Sandy ray","Raie circulaire","Raya falsa vela","شفنين بحري دائرية","圆盘鳐","","Raja circularis","Couch 1838","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400109","2054","Small-eyed ray","Raie mêlée","Raya colorada","شِفنين بحري مَمزُوجة","小睛斑鳐","","Raja microocellata","Montagu 1818","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400112","2055","Undulate ray","Raie brunette","Raya mosaica","شِفنين بحري أسمرة","波鳐","","Raja undulata","Lacépède 1802","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400125","2056","White skate","Raie blanche","Raya bramante","شِنين بحري بيضاء","矛吻鳐","","Raja alba","Lacépède 1803","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400160","2057","Little skate","Raie hérisson","","","","","Raja erinacea","(Mitchill 1852)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400175","2058","Barndoor skate","Grande raie","","","","","Raja laevis","Mitchill 1818","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400201","2059","Eaton's skate","Raie d'Eaton","Raya de Eaton","","","Скат Итона глубоководный","Bathyraja eatonii","(Günther 1876)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100400227","2060","Spinetail ray","Raie à queue épineuse","","","","","Bathyraja spinicauda","(Jensen 1914)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"11005003XX","2061","Stingrays nei","Pastenagues nca","Pastinacas nep","","","","Dasyatis spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
