"Alpha3_Code","Author","Family_mapping","Identifier","IsscaapGrp_mapping","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Order_mapping","Scientific_Name","Sort","Taxonomic_Code","Unit"
"MHA","(Latrobe 1802)","ALOSIDAE","2094","35","","","Atlantic menhaden","Lacha tirana","Menhaden tyran","","CLUPEIFORMES","Brevoortia tyrannus","35121009101406000","121009101406","t"
"BOA","(Bowdich 1825)","DOROSOMATIDAE","2095","35","","","Bonga shad","Sábalo africano","Ethmalose d'Afrique","Бонга","CLUPEIFORMES","Ethmalosa fimbriata","35121010103401000","121010103401","t"
"WRR","Wongratana 1983","DUSSUMIERIIDAE","2096","35","","","Whitehead's round herring","Sardina angoleña","Shadine de Angola","","CLUPEIFORMES","Etrumeus whiteheadi","35121006101402000","121006101402","t"
"HIX","(Cuvier 1829)","DOROSOMATIDAE","2097","24","","","Kelee shad","Sábalo chandano","Alose palli","Гильза индоокеанская (=гильза-кели)","CLUPEIFORMES","Hilsa kelee","24121010105401000","121010105401","t"
"REE","(Richardson 1846)","DOROSOMATIDAE","2098","24","","","Reeves shad","","","","CLUPEIFORMES","Tenualosa reevesii","24121010112603000","121010112603","t"
"THX","","DOROSOMATIDAE","2099","35","","","Thread herrings NEI","Machuelos NEP","Chardins NCA","","CLUPEIFORMES","Opisthonema spp","35121010109000000","1210101090XX","t"
"SRH","(Temminck & Schlegel 1846)","SPRATELLOIDIDAE","2100","35","","","Silver-stripe round herring","Arenquillo de banda","Hareng gracile","","CLUPEIFORMES","Spratelloides gracilis","35121002101402000","121002101402","t"
"CLA","(Nordmann 1840)","EHIRAVIDAE","2101","24","","","Black and Caspian Sea sprat","Espadín del Mar Negro y Caspio","Clupeonelle","Тюлька черноморско-каспийская (=килька)","CLUPEIFORMES","Clupeonella cultriventris","24121008101801000","121008101801","t"
"SPR","(Linnaeus 1758)","CLUPEIDAE","2102","35","","","European sprat","Espadín","Sprat","Шпрот европейский","CLUPEIFORMES","Sprattus sprattus","35121004103403000","121004103403","t"
"MES","(Valenciennes 1847)","CLUPEIDAE","2103","35","","","Pacific menhaden","Machete","Menhaden du Pacifique","","CLUPEIFORMES","Ethmidium maculatum","35121004101801000","121004101801","t"
"LTM","(Boulenger 1906)","DOROSOMATIDAE","2104","13","","","Lake Tanganyika sardine","","","","CLUPEIFORMES","Limnothrissa miodon","13121010107001000","121010107001","t"
"ANX","","ENGRAULIDAE","2105","35","","","Anchovies, etc. NEI","Anchoas, etc. NEP","Anchois, etc. NCA","Анчоусовые","CLUPEIFORMES","Engraulidae","35121003100000000","1210031XXXXX","t"
"ANE","(Linnaeus 1758)","ENGRAULIDAE","2106","35","","","European anchovy","Boquerón","Anchois","Анчоус европейский","CLUPEIFORMES","Engraulis encrasicolus","35121003104204000","121003104204","t"
"NPA","Girard 1854","ENGRAULIDAE","2107","35","","","Californian anchovy","Anchoa de California","Anchois de Californie","","CLUPEIFORMES","Engraulis mordax","35121003104206000","121003104206","t"
"AVA","(Cuvier 1829)","ENGRAULIDAE","2108","35","","","Atlantic anchoveta","Anchoveta rabo amarillo","Anchois queue jaune","","CLUPEIFORMES","Cetengraulis edentulus","35121003102601000","121003102601","t"
"ANB","(Valenciennes 1848)","ENGRAULIDAE","2109","35","","","Bay anchovy","Anchoa de caleta","Anchois baie","","CLUPEIFORMES","Anchoa mitchilli","35121003101415000","121003101415","t"
"STO","","ENGRAULIDAE","2110","35","","","Stolephorus anchovies NEI","Boquerones Stolephorus NEP","Anchois Stolephorus NCA","","CLUPEIFORMES","Stolephorus spp","35121003107000000","1210031070XX","t"
"ALH","","ALEPOCEPHALIDAE","2111","34","","","Slickheads NEI","Talismanes NEP","","","ALEPOCEPHALIFORMES","Alepocephalus spp","34121514001400000","1215140014XX","t"
"ILI","(Bloch 1795)","PRISTIGASTERIDAE","2112","24","","","West African ilisha","Sardineta africana","Alose rasoir","Илиша западно-африканская","CLUPEIFORMES","Ilisha africana","24121007101401000","121007101401","t"
"DOB","(Forsskål 1775)","CHIROCENTRIDAE","2113","35","","","Dorab wolf-herring","Arencón dorab","Chirocentre dorab","","CLUPEIFORMES","Chirocentrus dorab","35121005101001000","121005101001","t"
"MIL","(Forsskål 1775)","CHANIDAE","2114","25","","虱目鱼(遮目鱼)","Milkfish","Chano","Chano","Ханос (=молочная рыба)","GONORYNCHIFORMES","Chanos chanos","25122001101001000","122001101001","t"
"TRS","Berg 1908","SALMONIDAE","2115","23","","","Sea trout","Trucha marina","Truite de mer","Кумжа","SALMONIFORMES (SALMONOIDEI)","Salmo trutta","23142101003411000","142101003411","t"
"PIN","(Walbaum 1792)","SALMONIDAE","2116","23","سلمون وردي","细鳞大麻哈鱼","Pink(=Humpback) salmon","Salmón rosado","Saumon rose","Горбуша","SALMONIFORMES (SALMONOIDEI)","Oncorhynchus gorbuscha","23142101002206000","142101002206","t"
"SOC","(Walbaum 1792)","SALMONIDAE","2117","23","سلمون أحمر","红大麻哈鱼","Sockeye(=Red) salmon","Salmón rojo","Saumon rouge","Нерка","SALMONIFORMES (SALMONOIDEI)","Oncorhynchus nerka","23142101002211000","142101002211","t"
