"Identifier","SWS_Identifier","Scientific_Name","Taxonomic_Code"
"57436","7436","OSTRACOBERYCIDAE","1800021"
"57437","7437","SYMPHYSANODONTIDAE","1800041"
"57438","7438","POMACENTRIDAE","1670031"
"57440","7440","BATHYMASTERIDAE","1755561"
"57441","7441","STICHAEIDAE","1755471"
"57442","7442","CRYPTACANTHODIDAE","1755531"
"57443","7443","MAJIDAE","2310256"
"57444","7444","PARASTACIDAE","2291051"
"57445","7445","NEPHROPIDAE","2291021"
"57446","7446","DAPHNIIDAE","2010010"
"57447","7447","ODONTODACTYLIDAE","2450021"
"57448","7448","LYSIOSQUILLIDAE","2450031"
"57450","7450","HEMISQUILLIDAE","2450041"
"57451","7451","PSEUDOSQUILLIDAE","2450061"
"57452","7452","NEMATOCARCINIDAE","2289211"
"57453","7453","PASIPHAEIDAE","2289281"
"57454","7454","RHYNCHOCINETIDAE","2289221"
"57455","7455","CAMPYLONOTIDAE","2289161"
"57456","7456","ALPHEIDAE","2289011"
"57457","7457","OGYRIDIDAE","2289071"
"57458","7458","HIPPOLYTIDAE","2289041"
"57459","7459","PROCESSIDAE","2289301"
"57461","7461","BENTHESICYMIDAE","2281021"
"57462","7462","GLYPHOCRANGONIDAE","2289181"
"57464","7464","POLYCHELIDAE","2299011"
"57465","7465","GLYPHEIDAE","2293011"
"57467","7467","THALASSINIDAE","2296021"
"57468","7468","UPOGEBIIDAE","2296031"
"57469","7469","CALLIANASSIDAE","2295031"
"57470","7470","AXIIDAE","2295021"
"57471","7471","ENOPLOMETOPIDAE","2291011"
"57472","7472","CAMBARIDAE","2291041"
"57473","7473","STENOPODIDAE","2286031"
"57474","7474","OPLOPHORIDAE","2289241"
"57475","7475","ALBUNEIDAE","2300091"
"57476","7476","DIOGENIDAE","2300141"
"57477","7477","HIPPIDAE","2300111"
"57478","7478","COENOBITIDAE","2300131"
"57479","7479","CALAPPIDAE","2310081"
"57480","7480","HOMOLIDAE","2310036"
"57481","7481","OCYPODIDAE","2310506"
"57482","7482","GECARCINIDAE","2310441"
"57483","7483","DROMIIDAE","2310021"
"57484","7484","RANINIDAE","2310056"
"57485","7485","DORIPPIDAE","2310121"
"57486","7486","PILUMNIDAE","2310301"
"57487","7487","GONEPLACIDAE","2310181"
"57488","7488","GERYONIDAE","2310326"
"57489","7489","PHOLIDAE","1755501"
"57490","7490","PTILICHTHYIDAE","1755511"
"57491","7491","ZAPRORIDAE","1755521"
"57492","7492","SCYTALINIDAE","1755551"
"57493","7493","CREEDIIDAE","1800181"
"57494","7494","TRACHINIDAE","1700081"
"57495","7495","URANOSCOPIDAE","1798051"
"57496","7496","LEPTOSCOPIDAE","1798061"
"57497","7497","AMMODYTIDAE","1798041"
"57498","7498","TRICHODONTIDAE","1735371"
"57499","7499","SPHYRAENIDAE","1551041"
"57500","7500","DACTYLOSCOPIDAE","1670131"
"57501","7501","TRIPTERYGIIDAE","1670081"
"57502","7502","CLINIDAE","1670101"
"57503","7503","BLENNIIDAE","1670091"
"57504","7504","ICOSTEIDAE","1525081"
"57506","7506","KURTIDAE","1501011"
"57507","7507","CHANNIDAE","1541051"
"57508","7508","CALLIONYMIDAE","1510041"
"57509","7509","DRACONETTIDAE","1510051"
"57510","7510","PHOLIDICHTHYIDAE","1601031"
"57511","7511","LABRISOMIDAE","1670111"
"57512","7512","CHAENOPSIDAE","1670121"
"57513","7513","SCOMBROLABRACIDAE","1525141"
"57514","7514","ELASSOMATIDAE","1795121"
"57515","7515","LUVARIDAE","1820181"
"57516","7516","ZANCLIDAE","1820191"
"57517","7517","NOMEIDAE","1523031"
"57518","7518","TETRAGONURIDAE","1523041"
"57520","7520","RHYACICHTHYIDAE","1501041"
"57523","7523","XENISTHMIDAE","1501071"
"57524","7524","ODONTOBUTIDAE","1501051"
"57525","7525","PARALICHTHYIDAE","1552111"
"57526","7526","ACHIRIDAE","1552171"
"57527","7527","ACHIROPSETTIDAE","1552161"
"57528","7528","SAMARIDAE","1552181"
"57529","7529","TRIACANTHODIDAE","1900011"
"57530","7530","TRIACANTHIDAE","1900021"
"57531","7531","MOLIDAE","1900041"
"57532","7532","TRIODONTIDAE","1900031"
"57533","7533","DIODONTIDAE","1900051"
"57534","7534","OSTRACIIDAE","1900081"
"57535","7535","MONACANTHIDAE","1900091"
"57536","7536","UMBRIDAE","1423021"
"57537","7537","ASTROBLEPIDAE","1410081"
"57538","7538","OPHIDIIDAE","1498020"
"57539","7539","CARAPIDAE","1498050"
"57540","7540","BYTHITIDAE","1498060"
"57543","7543","SCALPELLIDAE","2130061"
"57544","7544","LEPADIDAE","2130051"
"57545","7545","SQUILLIDAE","2450011"
"57546","7546","EUPHAUSIIDAE","2260010"
"57547","7547","PENAEIDAE","2281031"
"57548","7548","ARISTEIDAE","2281011"
"57549","7549","PANDALIDAE","2289271"
"57550","7550","SERGESTIDAE","2283012"
"57551","7551","ATYIDAE","2289091"
"57552","7552","PALAEMONIDAE","2289251"
"57553","7553","CRANGONIDAE","2289171"
"57554","7554","SICYONIIDAE","2281041"
"57555","7555","SOLENOCERIDAE","2281051"
"57556","7556","PALINURIDAE","2297011"
"57557","7557","ASTACIDAE","2291031"
"57558","7558","CANCRIDAE","2310096"
"57559","7559","XANTHIDAE","2310426"
"57560","7560","PORTUNIDAE","2310351"
"57561","7561","GRAPSIDAE","2310446"
"57562","7562","SCYLLARIDAE","2297021"
"57563","7563","GALATHEIDAE","2300051"
"57564","7564","LITHODIDAE","2300151"
"57565","7565","ARGONAUTIDAE","3841021"
"57566","7566","BATHYTEUTHIDAE","3831051"
"57567","7567","BRACHIOTEUTHIDAE","3831071"
"57568","7568","CHIROTEUTHIDAE","3831081"
"57569","7569","CRANCHIIDAE","3831101"
"57570","7570","CHTENOPTERYGIDAE","3831091"
"57571","7571","CYCLOTEUTHIDAE","3831111"
"57572","7572","ENOPLOTEUTHIDAE","3831121"
"57573","7573","GONATIDAE","3831131"
"57574","7574","HISTIOTEUTHIDAE","3831141"
"57575","7575","LEPIDOTEUTHIDAE","3831161"
"57576","7576","LOLIGINIDAE","3831021"
"57577","7577","NAUTILIDAE","3811011"
"57578","7578","NEOTEUTHIDAE","3831201"
"57579","7579","OCTOPODIDAE","3841101"
"57580","7580","OCTOPOTEUTHIDAE","3831211"
"57581","7581","OCYTHOIDAE","3841031"
"57582","7582","OMMASTREPHIDAE","3831221"
"57583","7583","ONYCHOTEUTHIDAE","3831231"
"57584","7584","OPISTHOTEUTHIDAE","3841141"
"57585","7585","PSYCHROTEUTHIDAE","3831261"
"57586","7586","SEPIADARIIDAE","3821031"
"57587","7587","SEPIIDAE","3821011"
"57588","7588","SEPIOLIDAE","3821021"
"57589","7589","THYSANOTEUTHIDAE","3831281"
"57590","7590","TREMOCTOPODIDAE","3841041"
"57591","7591","ANOMIIDAE","3501101"
"57592","7592","ARCIDAE","3501061"
"57593","7593","ARCTICIDAE","3501476"
"57594","7594","CARDIIDAE","3501396"
"57595","7595","CARDITIDAE","3501236"
"57596","7596","CHAMIDAE","3501456"
"57598","7598","DONACIDAE","3501411"
"57600","7600","HIATELLIDAE","3501371"
"57601","7601","MACTRIDAE","3501431"
"57602","7602","MESODESMATIDAE","3501446"
"57603","7603","MYIDAE","3501556"
"57604","7604","MYTILIDAE","3501056"
"57605","7605","OSTREIDAE","3501126"
"57606","7606","PECTINIDAE","3501111"
"57607","7607","PTERIIDAE","3501136"
"57608","7608","SOLENIDAE","3501361"
"57609","7609","TRIDACNINAE","3501397"
"57610","7610","UNIONIDAE","3501196"
"57611","7611","VENERIDAE","3501491"
"57612","7612","GLAUCONOMIDAE","3501511"
"57613","7613","GLOSSIDAE","3501466"
"57614","7614","GLYCYMERIDIDAE","3501071"
"57615","7615","GRYPHAEIDAE","3501131"
"57616","7616","HEMIDONACIDAE","3501461"
"57617","7617","ISOGNOMONIDAE","3501141"
"57618","7618","LATERNULIDAE","3501306"
"57619","7619","LIMIDAE","3501176"
"57620","7620","LIMOPSIDAE","3501076"
"57621","7621","LUCINIDAE","3501346"
"57622","7622","MALLEIDAE","3501146"
"57623","7623","MALLETIIDAE","3501021"
"57624","7624","NOETIIDAE","3501081"
"57625","7625","NUCULANIDAE","3501011"
"57626","7626","PHOLADIDAE","3501541"
"57627","7627","PINNIDAE","3501171"
"57628","7628","PSAMMOBIIDAE","3501416"
"57629","7629","CUCULLAEIDAE","3501066"
"57630","7630","PLACUNIDAE","3501106"
"57633","7633","TEREDINIDAE","3501546"
"57634","7634","SEMELIDAE","3501421"
"57635","7635","SOLECURTIDAE","3501426"
"57636","7636","SPONDYLIDAE","3501121"
"57637","7637","TELLINIDAE","3501406"
"57638","7638","SOLEMYIDAE","3501006"
